JONSWAP Spectrum and Wave Train
===============================

Inputs:
Hs=4.50m
Tz=8.00s
Freq=[0.01, 3.50, step 0.00] rd/s
Time=[0.00, 2000.00, step 0.10] s

Spectral Parameters:
gamma=3.93
Tp=10.14 s
wp=0.62 rd/s
alpha=0.01

Spectral Moments:
m0=1.265 m^2
m1=0.924 m^2.rd/s
m2=0.758 m^2.(rd/s)^2
m3=0.745 m^2.(rd/s)^3
m4=0.945 m^2.(rd/s)^4

Wave Elevation Statictics:
Max: 3.88m
Min: -4.20m
Mean: -0.00m
StDev: 1.18m

Double Check Spectrum:
Hs=4*sqrt(m0)=4.50 m (-0%)
Tz=2*Pi*sqrt(m0/m2)=8.12 s (+1%)

Double Check Wave Train:
Hs=4*stdev(elevation)=4.72 m (+5%)
Tz=duration/upCrossings=8.30 s (+4%)

Spectrum and wave components:
omega	S(w)	Ampl	phi
rd/s	m2s/rd	 m  	rd
0.18	0.000	0.000	6.17
0.18	0.000	0.000	4.22
0.18	0.000	0.000	3.40
0.18	0.000	0.000	1.44
0.18	0.000	0.000	5.90
0.19	0.000	0.000	4.85
0.19	0.000	0.000	2.98
0.19	0.000	0.000	1.92
0.19	0.000	0.000	0.93
0.19	0.000	0.000	2.60
0.19	0.000	0.000	0.68
0.19	0.000	0.000	3.10
0.19	0.000	0.000	1.14
0.19	0.000	0.000	0.78
0.19	0.000	0.000	3.35
0.20	0.000	0.000	3.41
0.20	0.000	0.000	4.02
0.20	0.000	0.000	2.62
0.20	0.000	0.000	3.18
0.20	0.000	0.000	3.09
0.20	0.000	0.000	3.88
0.20	0.000	0.000	1.50
0.20	0.000	0.000	1.48
0.20	0.000	0.000	1.16
0.20	0.000	0.000	5.57
0.21	0.000	0.000	1.28
0.21	0.000	0.000	1.17
0.21	0.000	0.000	4.77
0.21	0.000	0.000	3.95
0.21	0.000	0.000	5.43
0.21	0.000	0.000	2.67
0.21	0.000	0.000	4.98
0.21	0.000	0.000	4.46
0.21	0.000	0.000	2.67
0.21	0.000	0.000	2.69
0.22	0.000	0.000	0.37
0.22	0.000	0.000	2.17
0.22	0.000	0.000	6.09
0.22	0.000	0.000	4.89
0.22	0.000	0.000	4.35
0.22	0.000	0.000	3.90
0.22	0.000	0.000	3.35
0.22	0.000	0.000	4.44
0.22	0.000	0.000	5.59
0.22	0.000	0.000	5.34
0.23	0.000	0.000	5.09
0.23	0.000	0.000	5.77
0.23	0.000	0.000	6.20
0.23	0.000	0.000	3.80
0.23	0.000	0.000	1.02
0.23	0.000	0.000	1.15
0.23	0.000	0.000	3.04
0.23	0.000	0.000	3.24
0.23	0.000	0.000	5.03
0.23	0.000	0.000	4.99
0.24	0.000	0.000	1.45
0.24	0.000	0.000	1.87
0.24	0.000	0.000	3.61
0.24	0.000	0.000	5.89
0.24	0.000	0.000	0.25
0.24	0.000	0.000	4.72
0.24	0.000	0.000	5.18
0.24	0.000	0.000	5.71
0.24	0.000	0.000	3.78
0.24	0.000	0.000	1.94
0.25	0.000	0.000	2.30
0.25	0.000	0.000	1.35
0.25	0.000	0.000	5.07
0.25	0.000	0.000	2.09
0.25	0.000	0.000	2.85
0.25	0.000	0.000	5.24
0.25	0.000	0.000	0.68
0.25	0.000	0.000	0.80
0.25	0.000	0.000	1.52
0.25	0.000	0.000	3.30
0.26	0.000	0.000	5.34
0.26	0.000	0.000	1.14
0.26	0.000	0.000	3.09
0.26	0.000	0.000	0.43
0.26	0.000	0.000	5.60
0.26	0.000	0.000	0.69
0.26	0.000	0.000	0.94
0.26	0.000	0.000	2.15
0.26	0.000	0.000	0.08
0.26	0.000	0.000	3.10
0.27	0.000	0.000	3.78
0.27	0.000	0.000	5.89
0.27	0.000	0.000	0.21
0.27	0.000	0.000	4.82
0.27	0.000	0.000	5.61
0.27	0.000	0.000	5.10
0.27	0.000	0.000	5.19
0.27	0.000	0.000	2.57
0.27	0.000	0.000	0.18
0.27	0.000	0.000	2.44
0.28	0.000	0.000	2.55
0.28	0.000	0.000	3.97
0.28	0.000	0.000	2.74
0.28	0.000	0.000	2.26
0.28	0.000	0.000	3.40
0.28	0.000	0.000	6.21
0.28	0.000	0.000	0.27
0.28	0.000	0.000	0.59
0.28	0.000	0.000	4.15
0.28	0.000	0.000	1.14
0.29	0.000	0.000	2.66
0.29	0.000	0.000	0.41
0.29	0.000	0.000	1.70
0.29	0.000	0.000	6.07
0.29	0.000	0.000	0.33
0.29	0.000	0.000	1.30
0.29	0.000	0.000	2.21
0.29	0.000	0.000	4.19
0.29	0.000	0.000	6.16
0.29	0.000	0.000	3.45
0.30	0.000	0.000	3.68
0.30	0.000	0.000	3.06
0.30	0.000	0.000	3.19
0.30	0.000	0.000	3.17
0.30	0.000	0.000	5.66
0.30	0.000	0.000	2.22
0.30	0.000	0.000	4.53
0.30	0.000	0.000	0.35
0.30	0.000	0.000	1.77
0.30	0.000	0.000	0.99
0.30	0.000	0.000	5.15
0.31	0.000	0.000	0.78
0.31	0.000	0.000	5.22
0.31	0.000	0.000	5.44
0.31	0.000	0.000	0.24
0.31	0.000	0.000	0.40
0.31	0.000	0.000	4.17
0.31	0.000	0.000	0.44
0.31	0.000	0.000	0.46
0.31	0.000	0.000	1.91
0.32	0.000	0.000	0.32
0.32	0.000	0.000	1.63
0.32	0.000	0.000	5.47
0.32	0.000	0.000	3.10
0.32	0.000	0.000	5.15
0.32	0.000	0.000	5.65
0.32	0.000	0.000	3.28
0.32	0.000	0.000	1.10
0.32	0.000	0.000	3.72
0.32	0.000	0.000	5.97
0.33	0.000	0.000	2.99
0.33	0.000	0.000	3.38
0.33	0.000	0.000	1.54
0.33	0.000	0.000	3.92
0.33	0.000	0.000	5.26
0.33	0.000	0.000	0.53
0.33	0.000	0.000	2.84
0.33	0.000	0.000	0.45
0.33	0.000	0.000	1.14
0.33	0.000	0.000	3.02
0.34	0.000	0.000	5.42
0.34	0.000	0.000	4.22
0.34	0.000	0.000	3.57
0.34	0.000	0.000	0.13
0.34	0.000	0.000	0.36
