JONSWAP Spectrum and Wave Train
===============================

Inputs:
Hs=4.50m
Tz=8.00s
Freq=[0.01, 3.50, step 0.00] rd/s
Time=[0.00, 2000.00, step 0.10] s

Spectral Parameters:
gamma=3.93
Tp=10.14 s
wp=0.62 rd/s
alpha=0.01

Spectral Moments:
m0=1.265 m^2
m1=0.924 m^2.rd/s
m2=0.758 m^2.(rd/s)^2
m3=0.745 m^2.(rd/s)^3
m4=0.945 m^2.(rd/s)^4

Wave Elevation Statictics:
Max: 3.88m
Min: -4.20m
Mean: -0.00m
StDev: 1.18m

Double Check Spectrum:
Hs=4*sqrt(m0)=4.50 m (-0%)
Tz=2*Pi*sqrt(m0/m2)=8.12 s (+1%)

Double Check Wave Train:
Hs=4*stdev(elevation)=4.72 m (+5%)
Tz=duration/upCrossings=8.30 s (+4%)

Spectrum and wave components:
omega	S(w)	Ampl	phi
rd/s	m2s/rd	 m  	rd
2.90	0.003	0.002	5.84
2.90	0.003	0.002	0.65
2.90	0.003	0.002	4.74
2.90	0.003	0.002	0.92
2.90	0.003	0.002	3.79
2.90	0.003	0.002	2.63
2.90	0.003	0.002	4.32
2.90	0.003	0.002	4.86
2.90	0.003	0.002	2.05
2.90	0.003	0.002	3.74
2.91	0.003	0.002	2.54
2.91	0.003	0.002	0.33
2.91	0.003	0.002	1.61
2.91	0.003	0.002	2.73
2.91	0.003	0.002	5.23
2.91	0.003	0.002	1.72
2.91	0.003	0.002	5.51
2.91	0.003	0.002	5.30
2.91	0.003	0.002	1.85
2.92	0.003	0.002	0.54
2.92	0.003	0.002	2.88
2.92	0.003	0.002	6.12
2.92	0.003	0.002	1.87
2.92	0.003	0.002	4.77
2.92	0.003	0.002	0.02
2.92	0.003	0.002	4.27
2.92	0.003	0.002	3.88
2.92	0.003	0.002	2.30
2.92	0.003	0.002	5.02
2.92	0.003	0.002	2.10
2.93	0.003	0.002	5.55
2.93	0.003	0.002	1.89
2.93	0.003	0.002	5.37
2.93	0.003	0.002	2.00
2.93	0.003	0.002	1.13
2.93	0.003	0.002	2.75
2.93	0.003	0.002	6.17
2.93	0.003	0.002	2.85
2.93	0.003	0.002	5.80
2.94	0.003	0.002	1.61
2.94	0.003	0.002	0.72
2.94	0.003	0.002	4.92
2.94	0.003	0.002	5.77
2.94	0.003	0.002	2.31
2.94	0.003	0.002	2.53
2.94	0.003	0.002	1.27
2.94	0.003	0.002	4.67
2.94	0.003	0.002	3.25
2.94	0.003	0.002	2.13
2.94	0.003	0.002	0.39
2.95	0.003	0.002	0.83
2.95	0.003	0.002	1.62
2.95	0.003	0.002	4.83
2.95	0.003	0.002	6.28
2.95	0.003	0.002	2.85
2.95	0.003	0.002	0.99
2.95	0.003	0.002	3.32
2.95	0.003	0.002	3.91
2.95	0.003	0.002	5.64
2.95	0.003	0.002	4.45
2.96	0.002	0.002	2.96
2.96	0.002	0.002	5.25
2.96	0.002	0.002	0.02
2.96	0.002	0.002	5.15
2.96	0.002	0.002	3.27
2.96	0.002	0.002	3.98
2.96	0.002	0.002	0.42
2.96	0.002	0.002	5.61
2.96	0.002	0.002	3.49
2.96	0.002	0.002	2.79
2.97	0.002	0.002	2.66
2.97	0.002	0.002	5.46
2.97	0.002	0.002	4.26
2.97	0.002	0.002	6.15
2.97	0.002	0.002	1.21
2.97	0.002	0.002	2.67
2.97	0.002	0.002	5.86
2.97	0.002	0.002	4.13
2.97	0.002	0.002	1.68
2.97	0.002	0.002	5.82
2.98	0.002	0.002	2.37
2.98	0.002	0.002	0.81
2.98	0.002	0.002	1.23
2.98	0.002	0.002	2.23
2.98	0.002	0.002	6.09
2.98	0.002	0.002	0.56
2.98	0.002	0.002	3.33
2.98	0.002	0.002	1.15
2.98	0.002	0.002	3.33
2.98	0.002	0.002	0.78
2.99	0.002	0.002	4.44
2.99	0.002	0.002	1.79
2.99	0.002	0.002	3.10
2.99	0.002	0.002	1.24
2.99	0.002	0.002	0.71
2.99	0.002	0.002	5.59
2.99	0.002	0.002	2.71
2.99	0.002	0.002	1.42
2.99	0.002	0.002	5.10
2.99	0.002	0.002	2.59
3.00	0.002	0.002	2.74
3.00	0.002	0.002	2.27
3.00	0.002	0.002	2.82
3.00	0.002	0.002	2.48
3.00	0.002	0.002	1.52
3.00	0.002	0.002	1.74
3.00	0.002	0.002	3.57
3.00	0.002	0.002	0.88
3.00	0.002	0.002	2.34
3.00	0.002	0.002	5.48
3.01	0.002	0.002	3.17
3.01	0.002	0.002	3.06
3.01	0.002	0.002	4.24
3.01	0.002	0.002	1.49
3.01	0.002	0.002	1.92
3.01	0.002	0.002	2.82
3.01	0.002	0.002	3.70
3.01	0.002	0.002	1.05
3.01	0.002	0.002	4.52
3.01	0.002	0.002	3.49
3.02	0.002	0.002	1.95
3.02	0.002	0.002	2.27
3.02	0.002	0.002	3.68
3.02	0.002	0.002	1.18
3.02	0.002	0.002	6.20
3.02	0.002	0.002	3.29
3.02	0.002	0.002	2.71
3.02	0.002	0.002	0.13
3.02	0.002	0.002	5.33
3.02	0.002	0.002	3.67
3.03	0.002	0.002	4.59
3.03	0.002	0.002	5.78
3.03	0.002	0.002	2.22
3.03	0.002	0.002	5.03
3.03	0.002	0.002	1.50
3.03	0.002	0.002	1.19
3.03	0.002	0.002	0.70
3.03	0.002	0.002	5.83
3.03	0.002	0.002	4.56
3.03	0.002	0.002	4.72
3.04	0.002	0.002	0.23
3.04	0.002	0.002	2.97
3.04	0.002	0.002	2.86
3.04	0.002	0.002	2.97
3.04	0.002	0.002	1.43
3.04	0.002	0.002	4.45
3.04	0.002	0.002	6.25
3.04	0.002	0.002	2.19
3.04	0.002	0.002	2.65
3.04	0.002	0.002	5.57
3.05	0.002	0.002	2.96
3.05	0.002	0.002	4.38
3.05	0.002	0.002	1.50
3.05	0.002	0.002	1.41
3.05	0.002	0.002	5.38
3.05	0.002	0.002	2.77
3.05	0.002	0.002	3.91
3.05	0.002	0.002	5.86
3.05	0.002	0.002	3.75
3.05	0.002	0.002	0.90
3.06	0.002	0.002	6.04
3.06	0.002	0.002	1.67
3.06	0.002	0.002	3.86
3.06	0.002	0.002	2.20
3.06	0.002	0.002	0.76
3.06	0.002	0.002	4.29
3.06	0.002	0.002	2.00
3.06	0.002	0.002	5.07
3.06	0.002	0.002	4.17
3.06	0.002	0.002	2.67
3.07	0.002	0.002	0.89
3.07	0.002	0.002	2.04
3.07	0.002	0.002	5.83
3.07	0.002	0.002	5.30
3.07	0.002	0.002	5.10
3.07	0.002	0.002	3.98
3.07	0.002	0.002	5.02
3.07	0.002	0.002	3.79
3.07	0.002	0.002	2.56
3.07	0.002	0.002	0.75
3.08	0.002	0.002	2.21
3.08	0.002	0.002	5.79
3.08	0.002	0.002	2.83
3.08	0.002	0.002	6.28
3.08	0.002	0.002	4.24
3.08	0.002	0.002	2.10
3.08	0.002	0.002	3.75
3.08	0.002	0.002	0.27
3.08	0.002	0.002	4.75
3.08	0.002	0.002	6.23
3.09	0.002	0.002	0.56
3.09	0.002	0.002	2.41
3.09	0.002	0.002	0.18
3.09	0.002	0.002	2.49
3.09	0.002	0.002	1.63
3.09	0.002	0.002	6.01
3.09	0.002	0.002	0.86
3.09	0.002	0.002	1.27
3.09	0.002	0.002	5.07
3.09	0.002	0.002	0.30
3.10	0.002	0.002	4.90
3.10	0.002	0.002	5.55
3.10	0.002	0.002	4.91
3.10	0.002	0.002	3.06
3.10	0.002	0.002	0.97
3.10	0.002	0.002	4.50
3.10	0.002	0.002	5.88
3.10	0.002	0.002	2.21
3.10	0.002	0.002	4.38
3.10	0.002	0.002	1.25
3.11	0.002	0.002	5.77
3.11	0.002	0.002	2.22
3.11	0.002	0.002	5.76
3.11	0.002	0.002	3.70
3.11	0.002	0.002	1.11
3.11	0.002	0.002	0.48
3.11	0.002	0.002	0.15
3.11	0.002	0.002	1.42
3.11	0.002	0.002	5.94
3.11	0.002	0.002	3.70
3.12	0.002	0.002	4.08
3.12	0.002	0.002	2.75
3.12	0.002	0.002	0.51
3.12	0.002	0.002	2.33
3.12	0.002	0.002	5.26
3.12	0.002	0.002	0.14
3.12	0.002	0.002	4.30
3.12	0.002	0.002	4.68
3.12	0.002	0.002	2.36
3.12	0.002	0.002	1.87
3.13	0.002	0.002	4.25
3.13	0.002	0.002	0.28
3.13	0.002	0.002	1.08
3.13	0.002	0.002	4.84
3.13	0.002	0.002	3.44
3.13	0.002	0.002	1.58
3.13	0.002	0.002	2.30
3.13	0.002	0.002	5.72
3.13	0.002	0.002	0.01
3.13	0.002	0.002	2.92
3.14	0.002	0.002	1.05
3.14	0.002	0.002	2.40
3.14	0.002	0.002	3.14
3.14	0.002	0.002	5.87
3.14	0.002	0.002	4.13
3.14	0.002	0.002	2.86
3.14	0.002	0.002	5.74
3.14	0.002	0.002	0.44
3.14	0.002	0.002	3.09
3.15	0.002	0.002	3.02
3.15	0.002	0.002	3.57
3.15	0.002	0.002	0.77
3.15	0.002	0.002	4.88
3.15	0.002	0.002	1.72
3.15	0.002	0.002	3.39
3.15	0.002	0.002	2.93
3.15	0.002	0.002	3.52
3.15	0.002	0.002	6.16
3.15	0.002	0.002	2.19
3.15	0.002	0.002	4.85
3.16	0.002	0.002	3.82
3.16	0.002	0.002	5.77
3.16	0.002	0.002	3.42
3.16	0.002	0.002	3.60
3.16	0.002	0.002	3.45
3.16	0.002	0.002	3.45
3.16	0.002	0.002	4.35
3.16	0.002	0.002	1.98
3.16	0.002	0.002	0.81
3.17	0.002	0.002	1.23
3.17	0.002	0.002	0.13
3.17	0.002	0.002	4.30
3.17	0.002	0.002	4.64
3.17	0.002	0.002	1.49
3.17	0.002	0.002	3.48
3.17	0.002	0.002	1.65
3.17	0.002	0.002	2.71
3.17	0.002	0.002	1.43
3.17	0.002	0.002	4.93
3.17	0.002	0.002	3.85
3.18	0.002	0.002	6.18
3.18	0.002	0.002	2.34
3.18	0.002	0.002	4.74
3.18	0.002	0.002	0.09
3.18	0.002	0.002	0.49
3.18	0.002	0.002	3.96
3.18	0.002	0.002	2.23
3.18	0.002	0.002	4.65
3.18	0.002	0.002	3.91
3.19	0.002	0.002	1.66
3.19	0.002	0.002	5.42
3.19	0.002	0.002	1.87
3.19	0.002	0.002	3.38
3.19	0.002	0.002	5.96
3.19	0.002	0.002	0.17
3.19	0.002	0.002	4.81
3.19	0.002	0.002	4.71
3.19	0.002	0.002	3.98
3.19	0.002	0.002	3.33
3.19	0.002	0.002	0.21
3.20	0.002	0.002	2.64
3.20	0.002	0.002	5.07
3.20	0.002	0.002	5.76
3.20	0.002	0.002	3.84
3.20	0.002	0.002	1.89
3.20	0.002	0.002	6.15
3.20	0.002	0.002	3.12
3.20	0.002	0.002	4.43
3.20	0.002	0.002	0.43
3.21	0.002	0.002	3.85
3.21	0.002	0.002	6.11
3.21	0.002	0.002	0.73
3.21	0.002	0.002	6.05
3.21	0.002	0.002	2.94
3.21	0.002	0.002	1.24
3.21	0.002	0.002	3.90
3.21	0.002	0.002	1.35
3.21	0.002	0.002	5.53
3.21	0.002	0.002	5.57
3.21	0.002	0.002	4.34
3.22	0.002	0.002	4.18
3.22	0.002	0.002	5.32
3.22	0.002	0.002	4.41
3.22	0.002	0.002	1.16
3.22	0.002	0.002	0.06
3.22	0.002	0.002	2.51
3.22	0.002	0.002	3.86
3.22	0.002	0.002	3.54
3.22	0.002	0.002	1.85
3.22	0.002	0.002	2.93
3.23	0.002	0.002	2.64
3.23	0.002	0.002	3.38
3.23	0.002	0.002	2.10
3.23	0.002	0.002	2.77
3.23	0.002	0.002	6.17
3.23	0.002	0.002	4.45
3.23	0.002	0.002	4.46
3.23	0.002	0.002	0.18
3.23	0.002	0.002	5.46
3.23	0.002	0.002	2.00
3.24	0.002	0.002	0.58
3.24	0.002	0.002	4.33
3.24	0.002	0.002	5.43
3.24	0.002	0.002	1.47
3.24	0.002	0.002	0.71
3.24	0.002	0.002	0.61
3.24	0.002	0.002	2.28
3.24	0.002	0.002	2.09
3.24	0.002	0.002	2.77
3.24	0.002	0.002	1.61
3.25	0.002	0.002	5.07
3.25	0.002	0.002	1.61
3.25	0.002	0.002	6.03
3.25	0.002	0.002	0.23
3.25	0.002	0.002	0.85
3.25	0.002	0.002	0.16
3.25	0.002	0.002	1.25
3.25	0.002	0.002	4.56
3.25	0.002	0.002	2.57
3.25	0.002	0.002	5.49
3.26	0.002	0.002	5.79
3.26	0.002	0.002	6.05
3.26	0.002	0.002	3.72
3.26	0.002	0.002	2.85
3.26	0.002	0.002	1.71
3.26	0.002	0.002	1.55
3.26	0.002	0.002	0.36
3.26	0.002	0.002	5.28
3.26	0.002	0.002	2.22
3.26	0.002	0.002	2.17
3.27	0.002	0.002	3.63
3.27	0.002	0.002	2.87
3.27	0.002	0.002	5.71
3.27	0.002	0.002	1.25
3.27	0.002	0.002	5.22
3.27	0.002	0.002	0.16
3.27	0.002	0.002	1.06
3.27	0.002	0.002	5.85
3.27	0.001	0.002	1.71
3.27	0.001	0.002	2.59
3.28	0.001	0.002	0.97
3.28	0.001	0.002	3.36
3.28	0.001	0.002	1.43
3.28	0.001	0.002	5.40
3.28	0.001	0.002	0.97
3.28	0.001	0.002	0.65
3.28	0.001	0.002	0.85
3.28	0.001	0.002	3.10
3.28	0.001	0.002	1.18
3.28	0.001	0.002	4.20
3.29	0.001	0.002	2.65
3.29	0.001	0.002	2.29
3.29	0.001	0.002	5.05
3.29	0.001	0.002	5.75
3.29	0.001	0.002	3.66
3.29	0.001	0.002	0.11
3.29	0.001	0.002	5.07
3.29	0.001	0.002	2.31
3.29	0.001	0.002	0.04
3.29	0.001	0.002	3.65
3.30	0.001	0.002	5.02
3.30	0.001	0.002	5.69
3.30	0.001	0.002	6.08
3.30	0.001	0.002	5.70
3.30	0.001	0.002	0.90
3.30	0.001	0.002	2.98
3.30	0.001	0.002	0.34
3.30	0.001	0.002	2.74
3.30	0.001	0.002	5.73
3.30	0.001	0.002	6.13
3.31	0.001	0.002	2.50
3.31	0.001	0.002	1.00
3.31	0.001	0.002	2.72
3.31	0.001	0.002	1.65
3.31	0.001	0.002	0.85
3.31	0.001	0.002	1.43
3.31	0.001	0.002	2.95
3.31	0.001	0.002	0.54
3.31	0.001	0.002	4.73
3.31	0.001	0.002	5.71
3.32	0.001	0.002	1.01
3.32	0.001	0.002	3.06
3.32	0.001	0.002	0.15
3.32	0.001	0.002	2.37
3.32	0.001	0.002	2.85
3.32	0.001	0.002	4.70
3.32	0.001	0.002	3.32
3.32	0.001	0.002	4.46
3.32	0.001	0.002	2.16
3.32	0.001	0.002	5.75
3.33	0.001	0.002	3.39
3.33	0.001	0.002	4.95
3.33	0.001	0.002	3.07
3.33	0.001	0.002	0.03
3.33	0.001	0.002	4.56
3.33	0.001	0.002	3.09
3.33	0.001	0.002	3.73
3.33	0.001	0.002	2.51
3.33	0.001	0.002	1.11
3.33	0.001	0.002	0.06
3.34	0.001	0.002	3.15
3.34	0.001	0.002	1.21
3.34	0.001	0.002	4.80
3.34	0.001	0.002	4.41
3.34	0.001	0.002	1.90
3.34	0.001	0.002	2.34
3.34	0.001	0.002	0.51
3.34	0.001	0.002	5.10
3.34	0.001	0.002	1.36
3.34	0.001	0.002	0.12
3.35	0.001	0.002	2.17
3.35	0.001	0.002	2.97
3.35	0.001	0.002	5.52
3.35	0.001	0.002	1.75
3.35	0.001	0.002	4.70
3.35	0.001	0.002	4.89
3.35	0.001	0.002	5.22
3.35	0.001	0.002	4.35
3.35	0.001	0.002	3.06
3.35	0.001	0.002	1.38
3.36	0.001	0.002	6.03
3.36	0.001	0.002	1.78
3.36	0.001	0.002	5.76
3.36	0.001	0.002	5.47
3.36	0.001	0.002	5.37
3.36	0.001	0.002	0.88
3.36	0.001	0.002	5.45
3.36	0.001	0.002	2.76
3.36	0.001	0.002	4.91
3.36	0.001	0.002	2.88
3.37	0.001	0.002	1.74
3.37	0.001	0.002	1.31
3.37	0.001	0.002	2.28
3.37	0.001	0.002	4.14
3.37	0.001	0.002	3.29
3.37	0.001	0.002	2.73
3.37	0.001	0.002	5.74
3.37	0.001	0.002	4.91
3.37	0.001	0.002	4.76
3.38	0.001	0.002	5.36
3.38	0.001	0.002	4.69
3.38	0.001	0.002	2.78
3.38	0.001	0.002	5.57
3.38	0.001	0.002	5.64
3.38	0.001	0.002	5.48
3.38	0.001	0.002	5.71
3.38	0.001	0.002	5.37
3.38	0.001	0.002	4.24
3.38	0.001	0.002	5.36
3.38	0.001	0.002	5.32
3.39	0.001	0.002	5.78
3.39	0.001	0.002	4.73
3.39	0.001	0.002	5.13
3.39	0.001	0.002	0.80
3.39	0.001	0.002	2.45
3.39	0.001	0.002	2.76
3.39	0.001	0.002	2.61
3.39	0.001	0.002	3.68
3.39	0.001	0.002	1.39
3.40	0.001	0.002	0.78
3.40	0.001	0.002	0.52
3.40	0.001	0.002	1.31
3.40	0.001	0.002	0.14
3.40	0.001	0.002	4.46
3.40	0.001	0.002	5.99
3.40	0.001	0.002	0.26
3.40	0.001	0.002	0.27
3.40	0.001	0.002	5.38
3.40	0.001	0.002	5.76
3.40	0.001	0.002	1.15
3.41	0.001	0.002	5.23
3.41	0.001	0.002	3.35
3.41	0.001	0.002	1.52
3.41	0.001	0.002	4.34
3.41	0.001	0.002	4.87
3.41	0.001	0.002	5.12
3.41	0.001	0.002	5.54
3.41	0.001	0.002	5.71
3.41	0.001	0.002	4.00
3.42	0.001	0.002	5.55
3.42	0.001	0.002	4.48
3.42	0.001	0.002	5.65
3.42	0.001	0.002	2.39
3.42	0.001	0.002	1.86
3.42	0.001	0.002	5.70
3.42	0.001	0.002	0.57
3.42	0.001	0.002	6.10
3.42	0.001	0.002	3.58
3.42	0.001	0.002	3.94
3.42	0.001	0.002	4.76
3.43	0.001	0.002	0.83
3.43	0.001	0.002	3.47
3.43	0.001	0.002	1.01
3.43	0.001	0.002	6.06
3.43	0.001	0.002	3.88
3.43	0.001	0.002	4.11
3.43	0.001	0.002	0.32
3.43	0.001	0.002	1.88
3.43	0.001	0.002	5.54
3.44	0.001	0.002	4.15
3.44	0.001	0.002	1.30
3.44	0.001	0.002	3.85
3.44	0.001	0.002	4.65
3.44	0.001	0.002	6.22
3.44	0.001	0.002	2.53
3.44	0.001	0.002	4.72
3.44	0.001	0.002	3.84
3.44	0.001	0.002	3.34
3.44	0.001	0.002	3.44
3.44	0.001	0.002	5.26
3.45	0.001	0.002	4.48
3.45	0.001	0.002	0.77
3.45	0.001	0.002	1.29
3.45	0.001	0.002	0.98
3.45	0.001	0.002	5.02
3.45	0.001	0.002	6.09
3.45	0.001	0.002	3.21
3.45	0.001	0.002	5.55
3.45	0.001	0.002	5.01
3.46	0.001	0.002	0.77
3.46	0.001	0.002	1.83
3.46	0.001	0.002	1.02
3.46	0.001	0.002	5.10
3.46	0.001	0.002	6.26
3.46	0.001	0.002	0.94
3.46	0.001	0.002	2.26
3.46	0.001	0.002	4.47
3.46	0.001	0.002	2.37
3.46	0.001	0.002	2.68
3.46	0.001	0.002	2.07
3.47	0.001	0.002	1.38
3.47	0.001	0.002	0.27
3.47	0.001	0.001	0.90
3.47	0.001	0.001	4.87
3.47	0.001	0.001	5.10
3.47	0.001	0.001	0.98
3.47	0.001	0.001	1.25
3.47	0.001	0.001	2.56
3.47	0.001	0.001	2.43
3.47	0.001	0.001	0.46
3.48	0.001	0.001	4.17
3.48	0.001	0.001	0.81
3.48	0.001	0.001	0.89
3.48	0.001	0.001	1.31
3.48	0.001	0.001	5.22
3.48	0.001	0.001	5.69
3.48	0.001	0.001	0.57
3.48	0.001	0.001	0.30
3.48	0.001	0.001	4.10
3.48	0.001	0.001	5.44
3.49	0.001	0.001	3.07
3.49	0.001	0.001	4.67
3.49	0.001	0.001	6.13
3.49	0.001	0.001	4.11
3.49	0.001	0.001	0.70
3.49	0.001	0.001	5.91
3.49	0.001	0.001	0.57
3.49	0.001	0.001	5.13
3.49	0.001	0.001	2.82
3.49	0.001	0.001	1.37
3.50	0.001	0.001	2.46
3.50	0.001	0.001	4.31
3.50	0.001	0.001	5.61
3.50	0.001	0.001	1.15
3.50	0.001	0.001	2.79

WaveTrain:
time	elevation
 [s]	[m]
0.00	1.91
0.10	1.65
0.20	1.37
0.30	1.10
0.40	0.83
0.50	0.57
0.60	0.32
0.70	0.08
0.80	-0.15
0.90	-0.35
1.00	-0.54
1.10	-0.71
1.20	-0.86
1.30	-0.99
1.40	-1.11
1.50	-1.21
1.60	-1.30
1.70	-1.37
1.80	-1.44
1.90	-1.49
2.00	-1.53
2.10	-1.57
2.20	-1.59
2.30	-1.60
2.40	-1.60
2.50	-1.58
2.60	-1.55
2.70	-1.51
2.80	-1.46
2.90	-1.41
3.00	-1.34
3.10	-1.28
3.20	-1.21
3.30	-1.16
3.40	-1.11
3.50	-1.08
3.60	-1.06
3.70	-1.06
3.80	-1.09
3.90	-1.13
4.00	-1.19
4.10	-1.26
4.20	-1.35
4.30	-1.44
4.40	-1.53
4.50	-1.61
4.60	-1.69
4.70	-1.75
4.80	-1.79
4.90	-1.81
5.00	-1.82
5.10	-1.80
5.20	-1.76
5.30	-1.70
5.40	-1.63
5.50	-1.55
5.60	-1.45
5.70	-1.35
5.80	-1.25
5.90	-1.14
6.00	-1.04
6.10	-0.93
6.20	-0.83
6.30	-0.74
6.40	-0.64
6.50	-0.54
6.60	-0.45
6.70	-0.35
6.80	-0.26
6.90	-0.16
7.00	-0.06
7.10	0.04
7.20	0.15
7.30	0.26
7.40	0.37
7.50	0.48
7.60	0.60
7.70	0.72
7.80	0.83
7.90	0.95
8.00	1.06
8.10	1.17
8.20	1.27
8.30	1.36
8.40	1.44
8.50	1.50
8.60	1.55
8.70	1.58
8.80	1.59
8.90	1.58
9.00	1.54
9.10	1.48
9.20	1.40
9.30	1.31
9.40	1.20
9.50	1.09
9.60	0.97
9.70	0.85
9.80	0.74
9.90	0.64
10.00	0.57
10.10	0.51
10.20	0.47
10.30	0.46
10.40	0.47
10.50	0.50
10.60	0.54
10.70	0.60
10.80	0.67
10.90	0.74
11.00	0.81
11.10	0.87
11.20	0.92
11.30	0.96
11.40	0.98
11.50	1.00
11.60	0.99
11.70	0.98
11.80	0.96
11.90	0.93
12.00	0.90
12.10	0.86
12.20	0.83
12.30	0.80
12.40	0.77
12.50	0.74
12.60	0.72
12.70	0.69
12.80	0.66
12.90	0.63
13.00	0.58
13.10	0.53
13.20	0.46
13.30	0.38
13.40	0.29
13.50	0.18
13.60	0.07
13.70	-0.06
13.80	-0.20
13.90	-0.35
14.00	-0.50
14.10	-0.65
14.20	-0.80
14.30	-0.94
14.40	-1.08
14.50	-1.22
14.60	-1.35
14.70	-1.47
14.80	-1.58
14.90	-1.68
15.00	-1.77
15.10	-1.85
15.20	-1.91
15.30	-1.97
15.40	-2.01
15.50	-2.04
15.60	-2.05
15.70	-2.05
15.80	-2.03
15.90	-2.00
16.00	-1.96
16.10	-1.91
16.20	-1.84
16.30	-1.76
16.40	-1.68
16.50	-1.58
16.60	-1.49
16.70	-1.38
16.80	-1.27
16.90	-1.16
17.00	-1.04
17.10	-0.92
17.20	-0.79
17.30	-0.66
17.40	-0.53
17.50	-0.39
17.60	-0.25
17.70	-0.10
17.80	0.06
17.90	0.21
18.00	0.37
18.10	0.53
18.20	0.68
18.30	0.84
18.40	0.99
18.50	1.13
18.60	1.27
18.70	1.40
18.80	1.52
18.90	1.63
19.00	1.73
19.10	1.82
19.20	1.90
19.30	1.97
19.40	2.03
19.50	2.08
19.60	2.11
19.70	2.14
19.80	2.15
19.90	2.14
20.00	2.12
20.10	2.08
20.20	2.02
20.30	1.94
20.40	1.84
20.50	1.72
20.60	1.59
20.70	1.44
20.80	1.28
20.90	1.11
21.00	0.94
21.10	0.77
21.20	0.60
21.30	0.43
21.40	0.27
21.50	0.12
21.60	-0.02
21.70	-0.15
21.80	-0.27
21.90	-0.39
22.00	-0.50
22.10	-0.60
22.20	-0.70
22.30	-0.81
22.40	-0.91
22.50	-1.01
22.60	-1.11
22.70	-1.22
22.80	-1.31
22.90	-1.41
23.00	-1.49
23.10	-1.57
23.20	-1.63
23.30	-1.67
23.40	-1.70
23.50	-1.71
23.60	-1.70
23.70	-1.67
23.80	-1.62
23.90	-1.56
24.00	-1.49
24.10	-1.41
24.20	-1.32
24.30	-1.23
24.40	-1.13
24.50	-1.03
24.60	-0.93
24.70	-0.83
24.80	-0.73
24.90	-0.63
25.00	-0.53
25.10	-0.43
25.20	-0.32
25.30	-0.22
25.40	-0.11
25.50	-0.00
25.60	0.11
25.70	0.21
25.80	0.31
25.90	0.40
26.00	0.48
26.10	0.55
26.20	0.61
26.30	0.65
26.40	0.67
26.50	0.68
26.60	0.68
26.70	0.68
26.80	0.66
26.90	0.65
27.00	0.63
27.10	0.62
27.20	0.62
27.30	0.63
27.40	0.65
27.50	0.68
27.60	0.72
27.70	0.76
27.80	0.81
27.90	0.85
28.00	0.88
28.10	0.91
28.20	0.92
28.30	0.91
28.40	0.88
28.50	0.82
28.60	0.75
28.70	0.65
28.80	0.54
28.90	0.42
29.00	0.28
29.10	0.15
29.20	0.02
29.30	-0.10
29.40	-0.21
29.50	-0.31
29.60	-0.38
29.70	-0.43
29.80	-0.46
29.90	-0.48
30.00	-0.47
30.10	-0.45
30.20	-0.41
30.30	-0.37
30.40	-0.32
30.50	-0.27
30.60	-0.22
30.70	-0.18
30.80	-0.14
30.90	-0.10
31.00	-0.08
31.10	-0.06
31.20	-0.04
31.30	-0.03
31.40	-0.02
31.50	-0.02
31.60	-0.01
31.70	-0.01
31.80	-0.00
31.90	0.00
32.00	0.00
32.10	0.01
32.20	0.01
32.30	0.01
32.40	0.01
32.50	0.01
32.60	0.00
32.70	-0.01
32.80	-0.03
32.90	-0.05
33.00	-0.07
33.10	-0.10
33.20	-0.13
33.30	-0.16
33.40	-0.19
33.50	-0.22
33.60	-0.25
33.70	-0.28
33.80	-0.30
33.90	-0.31
34.00	-0.32
34.10	-0.32
34.20	-0.31
34.30	-0.29
34.40	-0.26
34.50	-0.22
34.60	-0.17
34.70	-0.12
34.80	-0.05
34.90	0.03
35.00	0.10
35.10	0.19
35.20	0.27
35.30	0.35
35.40	0.43
35.50	0.50
35.60	0.57
35.70	0.62
35.80	0.67
35.90	0.70
36.00	0.73
36.10	0.74
36.20	0.74
36.30	0.74
36.40	0.72
36.50	0.70
36.60	0.67
36.70	0.63
36.80	0.59
36.90	0.55
37.00	0.50
37.10	0.45
37.20	0.39
37.30	0.33
37.40	0.26
37.50	0.19
37.60	0.12
37.70	0.04
37.80	-0.05
37.90	-0.14
38.00	-0.23
38.10	-0.33
38.20	-0.43
38.30	-0.53
38.40	-0.64
38.50	-0.74
38.60	-0.84
38.70	-0.93
38.80	-1.02
38.90	-1.09
39.00	-1.16
39.10	-1.21
39.20	-1.25
39.30	-1.28
39.40	-1.29
39.50	-1.28
39.60	-1.26
39.70	-1.23
39.80	-1.17
39.90	-1.11
40.00	-1.03
40.10	-0.94
40.20	-0.84
40.30	-0.74
40.40	-0.63
40.50	-0.53
40.60	-0.42
40.70	-0.32
40.80	-0.22
40.90	-0.13
41.00	-0.05
41.10	0.02
41.20	0.08
41.30	0.13
41.40	0.17
41.50	0.21
41.60	0.23
41.70	0.25
41.80	0.27
41.90	0.28
42.00	0.29
42.10	0.29
42.20	0.30
42.30	0.30
42.40	0.31
42.50	0.31
42.60	0.32
42.70	0.33
42.80	0.34
42.90	0.35
43.00	0.36
43.10	0.38
43.20	0.40
43.30	0.43
43.40	0.45
43.50	0.49
43.60	0.52
43.70	0.56
43.80	0.61
43.90	0.65
44.00	0.70
44.10	0.75
44.20	0.80
44.30	0.84
44.40	0.88
44.50	0.92
44.60	0.95
44.70	0.97
44.80	0.99
44.90	1.00
