WaveHs	WaveTp	WaveDirection	Link1 Max Tension	Link1 Min Tension
3.000000	6.000000	165.000000	57.262672	39.294140
3.000000	6.000000	165.000000	58.208218	38.695961
3.000000	6.000000	165.000000	57.431484	36.610107
3.000000	6.000000	165.000000	59.028667	39.245926
3.000000	6.000000	165.000000	57.775940	35.560764
3.000000	6.000000	165.000000	56.145035	39.906380
3.000000	6.000000	165.000000	59.494854	36.942715
3.000000	6.000000	165.000000	58.689392	36.635937
3.000000	6.000000	165.000000	58.781822	38.260128
3.000000	6.000000	165.000000	57.065105	39.363544
3.000000	6.000000	165.000000	57.608891	39.131401
3.000000	6.000000	165.000000	56.047577	38.135891
3.000000	6.000000	165.000000	56.752457	39.924770
3.000000	6.000000	165.000000	58.392467	38.563507
3.000000	6.000000	165.000000	56.878914	38.110607
3.000000	6.000000	165.000000	58.809814	38.625538
3.000000	6.000000	165.000000	55.569809	40.916531
3.000000	6.000000	165.000000	56.770630	39.654743
3.000000	6.000000	165.000000	55.749828	40.496056
3.000000	6.000000	165.000000	58.786880	38.307735
3.000000	6.000000	165.000000	57.557095	36.928688
3.000000	6.000000	165.000000	58.409977	38.941967
3.000000	6.000000	165.000000	56.656536	38.309376
3.000000	6.000000	165.000000	57.641163	38.799118
3.000000	6.000000	165.000000	56.512379	40.402733
3.000000	6.000000	165.000000	57.128582	39.502953
3.000000	6.000000	165.000000	55.793484	40.383228
3.000000	6.000000	165.000000	57.614498	36.902302
3.000000	6.000000	165.000000	57.716022	37.071503
3.000000	6.000000	165.000000	61.302975	38.226624
3.000000	6.000000	165.000000	59.606064	35.582401
3.000000	6.000000	165.000000	61.765984	36.301388
3.000000	6.000000	165.000000	58.378143	37.300575
3.000000	6.000000	165.000000	57.573681	39.382732
3.000000	6.000000	165.000000	57.340431	39.537842
3.000000	6.000000	180.000000	61.103542	36.976322
3.000000	6.000000	180.000000	62.386135	35.285343
3.000000	6.000000	180.000000	58.012909	36.882092
3.000000	6.000000	180.000000	58.663979	38.828644
3.000000	6.000000	180.000000	60.181396	34.501045
3.000000	6.000000	180.000000	56.887093	39.698914
3.000000	6.000000	180.000000	60.126698	35.337193
3.000000	6.000000	180.000000	58.219650	37.180988
3.000000	6.000000	180.000000	60.881500	36.150684
3.000000	6.000000	180.000000	57.515511	36.339500
3.000000	6.000000	180.000000	59.698696	37.190334
3.000000	6.000000	180.000000	55.935223	38.973610
3.000000	6.000000	180.000000	58.576561	38.224617
3.000000	6.000000	180.000000	58.609951	36.898823
3.000000	6.000000	180.000000	58.340206	36.490822
3.000000	6.000000	180.000000	61.057053	37.735504
3.000000	6.000000	180.000000	55.486145	39.489098
3.000000	6.000000	180.000000	58.360500	38.184704
3.000000	6.000000	180.000000	56.541660	39.249977
3.000000	6.000000	180.000000	58.576088	34.767464
3.000000	6.000000	180.000000	58.364506	36.837311
3.000000	6.000000	180.000000	58.274944	37.526993
3.000000	6.000000	180.000000	57.447533	37.722527
3.000000	6.000000	180.000000	59.098156	35.489689
3.000000	6.000000	180.000000	57.364861	38.814938
3.000000	6.000000	180.000000	58.062229	37.082687
3.000000	6.000000	180.000000	56.009766	40.614292
3.000000	6.000000	180.000000	63.229053	36.008892
3.000000	6.000000	180.000000	58.582783	36.430340
3.000000	6.000000	180.000000	61.532738	34.281761
3.000000	6.000000	180.000000	60.371994	35.133202
3.000000	6.000000	180.000000	57.448456	38.581825
3.000000	6.000000	180.000000	58.449673	37.373585
3.000000	6.000000	180.000000	59.984440	37.874950
3.000000	6.000000	180.000000	56.510853	36.636902
3.000000	6.000000	195.000000	57.262672	39.294140
3.000000	6.000000	195.000000	58.208218	38.695961
3.000000	6.000000	195.000000	57.431484	36.610107
3.000000	6.000000	195.000000	59.028667	39.245926
3.000000	6.000000	195.000000	57.775940	35.560764
3.000000	6.000000	195.000000	56.145035	39.906380
3.000000	6.000000	195.000000	59.494854	36.942715
3.000000	6.000000	195.000000	58.689392	36.635937
3.000000	6.000000	195.000000	58.781822	38.260128
3.000000	6.000000	195.000000	57.065105	39.363544
3.000000	6.000000	195.000000	57.608891	39.131401
3.000000	6.000000	195.000000	56.047577	38.135891
3.000000	6.000000	195.000000	56.752457	39.924770
3.000000	6.000000	195.000000	58.392467	38.563507
3.000000	6.000000	195.000000	56.878914	38.110607
3.000000	6.000000	195.000000	58.809814	38.625538
3.000000	6.000000	195.000000	55.569809	40.916531
3.000000	6.000000	195.000000	56.770630	39.654743
3.000000	6.000000	195.000000	55.749828	40.496056
3.000000	6.000000	195.000000	58.786880	38.307735
3.000000	6.000000	195.000000	57.557095	36.928688
3.000000	6.000000	195.000000	58.409977	38.941967
3.000000	6.000000	195.000000	56.656536	38.309376
3.000000	6.000000	195.000000	57.641163	38.799118
3.000000	6.000000	195.000000	56.512379	40.402733
3.000000	6.000000	195.000000	57.128582	39.502953
3.000000	6.000000	195.000000	55.793484	40.383228
3.000000	6.000000	195.000000	57.614498	36.902302
3.000000	6.000000	195.000000	57.716022	37.071503
3.000000	6.000000	195.000000	61.302975	38.226624
3.000000	6.000000	195.000000	59.606064	35.582401
3.000000	6.000000	195.000000	61.765984	36.301388
3.000000	6.000000	195.000000	58.378143	37.300575
3.000000	6.000000	195.000000	57.573681	39.382732
3.000000	6.000000	195.000000	57.340431	39.537842
3.000000	7.000000	165.000000	58.661469	36.464943
3.000000	7.000000	165.000000	62.159885	33.096348
3.000000	7.000000	165.000000	58.800682	34.117493
3.000000	7.000000	165.000000	56.506996	36.860744
3.000000	7.000000	165.000000	59.351330	35.609894
3.000000	7.000000	165.000000	56.568157	38.796749
3.000000	7.000000	165.000000	59.433483	35.938374
3.000000	7.000000	165.000000	60.568035	37.074120
3.000000	7.000000	165.000000	59.136883	36.748196
3.000000	7.000000	165.000000	57.355785	38.834858
3.000000	7.000000	165.000000	59.267403	35.462822
3.000000	7.000000	165.000000	57.401764	38.811447
3.000000	7.000000	165.000000	57.935822	37.578304
3.000000	7.000000	165.000000	57.294861	36.198902
3.000000	7.000000	165.000000	57.117367	37.980755
3.000000	7.000000	165.000000	58.855537	35.529957
3.000000	7.000000	165.000000	56.818993	39.296780
3.000000	7.000000	165.000000	58.964432	35.840847
3.000000	7.000000	165.000000	57.849091	37.851387
3.000000	7.000000	165.000000	55.908855	36.401989
3.000000	7.000000	165.000000	60.946571	31.907301
3.000000	7.000000	165.000000	58.806889	36.171364
3.000000	7.000000	165.000000	58.726913	36.257481
3.000000	7.000000	165.000000	56.524059	38.477531
3.000000	7.000000	165.000000	57.513653	36.425873
3.000000	7.000000	165.000000	58.245785	36.227390
3.000000	7.000000	165.000000	58.188145	35.211544
3.000000	7.000000	165.000000	61.840481	33.288776
3.000000	7.000000	165.000000	60.158871	34.357128
3.000000	7.000000	165.000000	60.740105	35.570393
3.000000	7.000000	165.000000	63.073257	31.727003
3.000000	7.000000	165.000000	58.325130	35.305923
3.000000	7.000000	165.000000	58.295006	36.745979
3.000000	7.000000	165.000000	59.080666	36.010475
3.000000	7.000000	165.000000	57.404583	37.515362
3.000000	7.000000	180.000000	58.189758	35.769768
3.000000	7.000000	180.000000	59.348873	34.395496
3.000000	7.000000	180.000000	59.349323	38.264156
3.000000	7.000000	180.000000	57.279888	37.283333
3.000000	7.000000	180.000000	57.003056	37.722126
3.000000	7.000000	180.000000	55.430649	38.769878
3.000000	7.000000	180.000000	59.560204	37.670918
3.000000	7.000000	180.000000	57.722626	36.810368
3.000000	7.000000	180.000000	57.175488	36.162952
3.000000	7.000000	180.000000	55.407398	38.924706
3.000000	7.000000	180.000000	58.781170	36.778828
3.000000	7.000000	180.000000	57.636452	38.232281
3.000000	7.000000	180.000000	57.577248	38.885170
3.000000	7.000000	180.000000	57.782181	37.384777
3.000000	7.000000	180.000000	54.496853	40.667374
3.000000	7.000000	180.000000	56.546982	38.510841
3.000000	7.000000	180.000000	57.138935	39.479576
3.000000	7.000000	180.000000	57.572342	38.842083
3.000000	7.000000	180.000000	56.876068	38.567829
3.000000	7.000000	180.000000	56.792000	39.214970
3.000000	7.000000	180.000000	60.670761	32.706612
3.000000	7.000000	180.000000	58.979046	37.395149
3.000000	7.000000	180.000000	57.529018	36.771198
3.000000	7.000000	180.000000	56.594452	39.487694
3.000000	7.000000	180.000000	57.202259	37.131126
3.000000	7.000000	180.000000	59.270222	33.490166
3.000000	7.000000	180.000000	58.534672	36.852234
3.000000	7.000000	180.000000	60.581966	34.403797
3.000000	7.000000	180.000000	58.963711	34.159939
3.000000	7.000000	180.000000	59.206730	35.715015
3.000000	7.000000	180.000000	62.251308	34.998280
3.000000	7.000000	180.000000	59.305866	34.981640
3.000000	7.000000	180.000000	58.948853	39.007664
3.000000	7.000000	180.000000	56.695107	39.254765
3.000000	7.000000	180.000000	57.517784	38.840408
3.000000	7.000000	195.000000	58.661469	36.464943
3.000000	7.000000	195.000000	62.159885	33.096348
3.000000	7.000000	195.000000	58.800682	34.117493
3.000000	7.000000	195.000000	56.506996	36.860744
3.000000	7.000000	195.000000	59.351330	35.609894
3.000000	7.000000	195.000000	56.568157	38.796749
3.000000	7.000000	195.000000	59.433483	35.938374
3.000000	7.000000	195.000000	60.568035	37.074120
3.000000	7.000000	195.000000	59.136883	36.748196
3.000000	7.000000	195.000000	57.355785	38.834858
3.000000	7.000000	195.000000	59.267403	35.462822
3.000000	7.000000	195.000000	57.401764	38.811447
3.000000	7.000000	195.000000	57.935822	37.578304
3.000000	7.000000	195.000000	57.294861	36.198902
3.000000	7.000000	195.000000	57.117367	37.980755
3.000000	7.000000	195.000000	58.855537	35.529957
3.000000	7.000000	195.000000	56.818993	39.296780
3.000000	7.000000	195.000000	58.964432	35.840847
3.000000	7.000000	195.000000	57.849091	37.851387
3.000000	7.000000	195.000000	55.908855	36.401989
3.000000	7.000000	195.000000	60.946571	31.907301
3.000000	7.000000	195.000000	58.806889	36.171364
3.000000	7.000000	195.000000	58.726913	36.257481
3.000000	7.000000	195.000000	56.524059	38.477531
3.000000	7.000000	195.000000	57.513653	36.425873
3.000000	7.000000	195.000000	58.245785	36.227390
3.000000	7.000000	195.000000	58.188145	35.211544
3.000000	7.000000	195.000000	61.840481	33.288776
3.000000	7.000000	195.000000	60.158871	34.357128
3.000000	7.000000	195.000000	60.740105	35.570393
3.000000	7.000000	195.000000	63.073257	31.727003
3.000000	7.000000	195.000000	58.325130	35.305923
3.000000	7.000000	195.000000	58.295006	36.745979
3.000000	7.000000	195.000000	59.080666	36.010475
3.000000	7.000000	195.000000	57.404583	37.515362
3.000000	8.000000	165.000000	61.098213	33.508141
3.000000	8.000000	165.000000	60.665482	32.751022
3.000000	8.000000	165.000000	60.169388	34.687656
3.000000	8.000000	165.000000	60.567940	33.990364
3.000000	8.000000	165.000000	60.868839	35.984783
3.000000	8.000000	165.000000	57.624790	37.597168
3.000000	8.000000	165.000000	60.178547	33.916325
3.000000	8.000000	165.000000	58.468002	36.587582
3.000000	8.000000	165.000000	61.150585	35.195210
3.000000	8.000000	165.000000	58.027279	38.170372
3.000000	8.000000	165.000000	60.116493	33.947689
3.000000	8.000000	165.000000	56.000813	37.881042
3.000000	8.000000	165.000000	59.066566	33.935162
3.000000	8.000000	165.000000	60.388313	33.584576
3.000000	8.000000	165.000000	58.444027	37.804611
3.000000	8.000000	165.000000	59.305271	34.679817
3.000000	8.000000	165.000000	61.250008	34.392284
3.000000	8.000000	165.000000	61.462719	33.638973
3.000000	8.000000	165.000000	58.228207	36.805656
3.000000	8.000000	165.000000	56.521961	36.493042
3.000000	8.000000	165.000000	59.512810	35.724373
3.000000	8.000000	165.000000	62.304813	32.619987
3.000000	8.000000	165.000000	56.658310	36.198101
3.000000	8.000000	165.000000	59.581207	36.744766
