5.32	-1.841	2.04
4.5	-7.891	2.04
4.5	-7.891	-2.21
5.32	-1.841	1
-5.32	-1.841	2.04
-4.5	-7.891	2.04
-4.5	-7.891	-2.21
-5.32	-1.841	1
4.725	-1.047	2.04
3.695	-1.841	2.04
5.32	-1.841	2.04
5.32	-1.047	2.04
4.725	-1.047	1.04
3.695	-1.841	1.04
5.32	-1.841	1.04
5.32	-1.047	1.04
-4.725	-1.047	2.04
-3.695	-1.841	2.04
-5.32	-1.841	2.04
-5.32	-1.047	2.04
-4.725	-1.047	1.04
-3.695	-1.841	1.04
-5.32	-1.841	1.04
-5.32	-1.047	1.04
4.725	-1.047	2.04
4.875	-1.047	2.04
4.875	0.2	1.64
4.725	0.2	1.64
4.725	-1.047	1.44
4.875	-1.047	1.44
4.875	0.2	1.44
4.725	0.2	1.44
-4.725	-1.047	2.04
-4.875	-1.047	2.04
-4.875	0.2	1.64
-4.725	0.2	1.64
-4.725	-1.047	1.44
-4.875	-1.047	1.44
-4.875	0.2	1.44
-4.725	0.2	1.44
1	2
2	3
3	4
4	1
5	6
6	7
7	8
8	5
1	5
2	6
3	7
4	8
9	10
10	11
11	12
12	9
13	14
14	15
15	16
16	13
9	13
10	14
11	15
12	16
17	18
18	19
19	20
20	17
21	22
22	23
23	24
24	21
17	21
18	22
19	23
20	24
25	26
26	27
27	28
28	25
29	30
30	31
31	32
32	29
25	29
26	30
27	31
28	32
33	34
34	35
35	36
36	33
37	38
38	39
39	40
40	37
33	37
34	38
35	39
36	40
