Time	Z
0	34.908031463623
0.100000000000001	34.9344215393066
0.200000000000001	34.9565048217773
0.300000000000001	34.9742660522461
0.4	34.9876937866211
0.5	34.9967918395996
0.600000000000001	35.0015602111816
0.700000000000001	35.002010345459
0.800000000000001	34.9981536865234
0.9	34.9899940490723
1	34.9775543212891
1.1	34.9608459472656
1.2	34.9398803710937
1.3	34.9146728515625
1.4	34.8852348327637
1.5	34.8515815734863
1.6	34.813720703125
1.7	34.7716636657715
1.8	34.7254257202148
1.9	34.6750183105469
2	34.6204566955566
2.1	34.5617599487305
2.2	34.4989471435547
2.3	34.4320487976074
2.4	34.3610954284668
2.5	34.2861251831055
2.6	34.2071838378906
2.7	34.1243209838867
2.8	34.0376052856445
2.9	33.9471092224121
3	33.8529167175293
3.1	33.7551345825195
3.2	33.6538734436035
3.3	33.5492630004883
3.4	33.4414482116699
3.5	33.3305969238281
3.6	33.2168769836426
3.7	33.1004905700684
3.8	32.9816513061523
3.9	32.8605804443359
4	32.7375335693359
4.1	32.6127700805664
4.2	32.4865798950195
4.3	32.359260559082
4.4	32.2311248779297
4.5	32.1025047302246
4.6	31.9737491607666
4.7	31.8452110290527
4.8	31.7172603607178
4.9	31.5902729034424
5	31.4646339416504
5.1	31.3407363891602
5.2	31.2189788818359
5.3	31.0997638702393
5.4	30.9834938049316
5.5	30.8705787658691
5.6	30.7614192962646
5.7	30.6564235687256
5.8	30.5559902191162
5.9	30.4605140686035
6	30.37038230896
6.1	30.2859706878662
6.2	30.207649230957
6.3	30.1357707977295
6.4	30.0706748962402
6.5	30.0126819610596
6.6	29.9620952606201
6.7	29.9191989898682
6.8	29.8842525482178
6.9	29.8574924468994
7	29.8391246795654
7.1	29.8293304443359
7.2	29.8282585144043
7.3	29.8360290527344
7.4	29.8527278900146
7.5	29.8784046173096
7.6	29.9130764007568
7.7	29.9567260742188
7.8	30.0092964172363
7.9	30.0706958770752
8	30.140796661377
8.1	30.2194290161133
8.2	30.3063888549805
8.3	30.4014358520508
8.4	30.5042877197266
8.5	30.6146297454834
8.6	30.7321090698242
8.7	30.8563385009766
8.8	30.9868965148926
8.9	31.123327255249
9	31.2651462554932
9.1	31.4118347167969
9.2	31.5628509521484
9.3	31.7176208496094
9.4	31.8755512237549
9.5	32.0360221862793
9.6	32.1983985900879
9.7	32.3620262145996
9.8	32.526237487793
9.9	32.6903495788574
10	32.853687286377
10.1	33.0155563354492
10.2	33.1752777099609
10.3	33.3321647644043
10.4	33.4855537414551
10.5	33.6347885131836
10.6	33.7792358398438
10.7	33.9182777404785
10.8	34.0513229370117
10.9	34.1778182983398
11	34.2972373962402
11.1	34.4090881347656
11.2	34.5129127502441
11.3	34.6083068847656
11.4	34.694896697998
11.5	34.7723579406738
11.6	34.8404121398926
11.7	34.8988265991211
11.8	34.9474182128906
11.9	34.9860420227051
12	35.0146141052246
12.1	35.0330848693848
12.2	35.0414657592773
12.3	35.0397987365723
12.4	35.0281791687012
12.5	35.0067481994629
12.6	34.9756851196289
12.7	34.9352035522461
12.8	34.8855628967285
12.9	34.8270530700684
13	34.7599983215332
13.1	34.6847496032715
13.2	34.601692199707
13.3	34.5112380981445
13.4	34.4138107299805
13.5	34.3098754882812
13.6	34.1998977661133
13.7	34.0843734741211
13.8	33.9638061523438
13.9	33.8387107849121
14	33.7096214294434
14.1	33.577075958252
14.2	33.4416122436523
14.3	33.3037910461426
14.4	33.1641616821289
14.5	33.0232849121094
14.6	32.881721496582
14.7	32.7400321960449
14.8	32.5987739562988
14.9	32.4584999084473
15	32.3197593688965
15.1	32.1830940246582
15.2	32.0490379333496
15.3	31.9181118011475
15.4	31.790828704834
15.5	31.6676845550537
15.6	31.5491580963135
15.7	31.4357147216797
15.8	31.3277969360352
15.9	31.2258262634277
16	31.1301975250244
16.1	31.0412864685059
16.2	30.9594383239746
16.3	30.8849678039551
16.4	30.8181686401367
16.5	30.759298324585
16.6	30.7085857391357
16.7	30.666223526001
16.8	30.6323757171631
16.9	30.6071681976318
17	30.5906944274902
17.1	30.5830097198486
17.2	30.5841369628906
17.3	30.5940608978271
17.4	30.612735748291
17.5	30.6400775909424
17.6	30.675968170166
17.7	30.7202587127686
17.8	30.7727680206299
17.9	30.8332786560059
18	30.9015464782715
18.1	30.977294921875
18.2	31.0602188110352
18.3	31.1499881744385
18.4	31.2462425231934
18.5	31.3486022949219
18.6	31.4566612243652
18.7	31.569995880127
18.8	31.6881580352783
18.9	31.8106861114502
19	31.9371013641357
19.1	32.0669059753418
19.2	32.1996002197266
19.3	32.334659576416
19.4	32.4715576171875
19.5	32.6097564697266
19.6	32.748722076416
19.7	32.8878974914551
19.8	33.0267372131348
19.9	33.1646919250488
20	33.3012046813965
20.1	33.4357299804687
20.2	33.5677261352539
20.3	33.6966590881348
20.4	33.8219985961914
20.5	33.9432258605957
20.6	34.0598487854004
20.7	34.1713714599609
20.8	34.2773284912109
20.9	34.3772659301758
21	34.4707565307617
21.1	34.5573959350586
21.2	34.6367988586426
21.3	34.7086181640625
21.4	34.7725257873535
21.5	34.8282279968262
21.6	34.8754539489746
21.7	34.9139747619629
21.8	34.9435958862305
21.9	34.9641494750977
22	34.975513458252
22.1	34.977596282959
22.2	34.9703483581543
22.3	34.9537544250488
22.4	34.9278450012207
22.5	34.8926811218262
22.6	34.8483695983887
22.7	34.7950592041016
22.8	34.7329292297363
22.9	34.6622085571289
23	34.5831604003906
23.1	34.4960861206055
23.2	34.4013366699219
23.3	34.2992820739746
23.4	34.1903457641602
23.5	34.0749778747559
23.6	33.9536590576172
23.7	33.826904296875
23.8	33.6952629089355
23.9	33.5592994689941
24	33.4196128845215
24.1	33.2768211364746
24.2	33.1315612792969
24.3	32.984489440918
24.4	32.8362617492676
24.5	32.6875610351562
24.6	32.5390586853027
24.7	32.3914413452148
24.8	32.2453880310059
24.9	32.1015663146973
25	31.9606456756592
25.1	31.8232765197754
25.2	31.6900901794434
25.3	31.5616989135742
25.4	31.4386901855469
25.5	31.3216228485107
25.6	31.2110214233398
25.7	31.1073799133301
25.8	31.0111503601074
25.9	30.9227447509766
26	30.8425350189209
26.1	30.770845413208
26.2	30.7079563140869
26.3	30.6540946960449
26.4	30.6094436645508
26.5	30.5741348266602
26.6	30.548246383667
26.7	30.5318145751953
26.8	30.5248203277588
26.9	30.5272006988525
27	30.5388507843018
27.1	30.5596160888672
27.2	30.5893058776855
27.3	30.627685546875
27.4	30.6744861602783
27.5	30.7294006347656
27.6	30.7920913696289
27.7	30.8621883392334
27.8	30.9392910003662
27.9	31.0229759216309
28	31.1127967834473
28.1	31.2082862854004
28.2	31.3089542388916
28.3	31.4143009185791
28.4	31.5238075256348
28.5	31.6369476318359
28.6	31.7531814575195
28.7	31.8719635009766
28.8	31.9927406311035
28.9	32.1149597167969
29	32.2380599975586
29.1	32.3614883422852
29.2	32.4846839904785
29.3	32.6071014404297
29.4	32.7281913757324
29.5	32.8474273681641
29.6	32.9642753601074
29.7	33.0782318115234
29.8	33.1887855529785
29.9	33.2954635620117
30	33.3977890014648
30.1	33.4953155517578
30.2	33.5876083374023
30.3	33.674259185791
30.4	33.7548828125
30.5	33.8291053771973
30.6	33.8965911865234
30.7	33.9570236206055
30.8	34.0101203918457
30.9	34.0556221008301
31	34.0932998657227
31.1	34.1229591369629
31.2	34.1444396972656
31.3	34.1576080322266
31.4	34.1623840332031
31.5	34.1587028503418
31.6	34.146556854248
31.7	34.1259651184082
31.8	34.0970001220703
31.9	34.0597686767578
32	34.0144233703613
32.1	33.9611549377441
32.2	33.9001998901367
32.3	33.831844329834
32.4	33.7564086914063
32.5	33.6742553710937
32.6	33.5857925415039
32.7	33.4914627075195
32.8	33.3917541503906
32.9	33.2871856689453
33	33.1783142089844
33.1	33.0657272338867
33.2	32.9500503540039
33.3	32.8319282531738
33.4	32.712028503418
33.5	32.5910415649414
33.6	32.469669342041
33.7	32.3486251831055
33.8	32.228630065918
33.9	32.1104011535645
34	31.9946537017822
34.1	31.8820972442627
34.2	31.7734222412109
34.3	31.6693019866943
34.4	31.5703868865967
34.5	31.4772930145264
34.6	31.3906059265137
34.7	31.3108730316162
34.8	31.2385959625244
34.9	31.1742324829102
35	31.1181888580322
35.1	31.0708160400391
35.2	31.0324115753174
35.3	31.0032176971436
35.4	30.9834136962891
35.5	30.9731178283691
35.6	30.9723892211914
35.7	30.9812259674072
35.8	30.9995708465576
35.9	31.0273056030273
36	31.0642547607422
36.1	31.1101932525635
36.2	31.1648426055908
36.3	31.2278728485107
36.4	31.2989139556885
36.5	31.3775482177734
36.6	31.463321685791
36.7	31.5557441711426
36.8	31.6542949676514
36.9	31.7584209442139
37	31.8675518035889
37.1	31.9810924530029
37.2	32.0984344482422
37.3	32.2189521789551
37.4	32.3420181274414
37.5	32.4669990539551
37.6	32.5932579040527
37.7	32.7201690673828
37.8	32.8471031188965
37.9	32.9734497070313
38	33.0986099243164
38.1	33.221996307373
38.2	33.3430404663086
38.3	33.4611968994141
38.4	33.5759468078613
38.5	33.6867866516113
38.6	33.7932395935059
38.7	33.8948669433594
38.8	33.9912414550781
38.9	34.0819778442383
39	34.1667098999023
39.1	34.2451095581055
39.2	34.3168640136719
39.3	34.3816986083984
39.4	34.4393692016602
39.5	34.4896507263184
39.6	34.532356262207
39.7	34.5673179626465
39.8	34.5943946838379
39.9	34.6134834289551
40	34.6244888305664
40.1	34.6273574829102
40.2	34.6220474243164
40.3	34.6085548400879
40.4	34.5868911743164
40.5	34.5570907592773
40.6	34.5192222595215
40.7	34.4733734130859
40.8	34.4196510314941
40.9	34.3581924438477
41	34.2891578674316
41.1	34.2127265930176
41.2	34.1291122436523
41.3	34.0385437011719
41.4	33.9412803649902
41.5	33.8376121520996
41.6	33.7278480529785
41.7	33.6123275756836
41.8	33.4914245605469
41.9	33.3655319213867
42	33.2350769042969
42.1	33.1005172729492
42.2	32.9623336791992
42.3	32.8210411071777
42.4	32.6771812438965
42.5	32.5313148498535
42.6	32.3840446472168
42.7	32.2359771728516
42.8	32.0877571105957
42.9	31.9400405883789
43	31.7935009002686
43.1	31.6488265991211
43.2	31.5067157745361
43.3	31.3678741455078
43.4	31.2330074310303
43.5	31.1028213500977
43.6	30.9780158996582
43.7	30.8592739105225
43.8	30.7472686767578
43.9	30.6426486968994
44	30.5460357666016
44.1	30.4580249786377
44.2	30.3791751861572
44.3	30.3100109100342
44.4	30.2510051727295
44.5	30.2025928497314
44.6	30.1651496887207
44.7	30.1389980316162
44.8	30.1244068145752
44.9	30.1215744018555
45	30.1306381225586
45.1	30.1516742706299
45.2	30.1846809387207
45.3	30.2295951843262
45.4	30.2862815856934
45.5	30.3545303344727
45.6	30.4340686798096
45.7	30.5245456695557
45.8	30.6255531311035
45.9	30.736608505249
46	30.8571739196777
46.1	30.9866523742676
46.2	31.1243934631348
46.3	31.2696933746338
46.4	31.4218139648438
46.5	31.5799674987793
46.6	31.7433414459229
46.7	31.9110927581787
46.8	32.0823554992676
46.9	32.2562561035156
47	32.4319000244141
47.1	32.6084060668945
47.2	32.7848854064941
47.3	32.9604644775391
47.4	33.1342849731445
47.5	33.3054962158203
47.6	33.4732894897461
47.7	33.6368675231934
47.8	33.7954711914063
47.9	33.948371887207
48	34.0948753356934
48.1	34.2343330383301
48.2	34.3661308288574
48.3	34.4896965026855
48.4	34.6044998168945
48.5	34.7100563049316
48.6	34.8059196472168
48.7	34.8916969299316
48.8	34.9670257568359
48.9	35.0315933227539
49	35.085132598877
49.1	35.1274147033691
49.2	35.1582527160645
49.3	35.1775054931641
49.4	35.1850738525391
49.5	35.1808967590332
49.6	35.164966583252
49.7	35.1372985839844
49.8	35.097972869873
49.9	35.0470962524414
50	34.9848213195801
50.1	34.9113464355469
50.2	34.8269195556641
50.3	34.7318229675293
50.4	34.6263885498047
50.5	34.5109939575195
50.6	34.386058807373
50.7	34.2520523071289
50.8	34.1094856262207
50.9	33.9589157104492
51	33.8009452819824
51.1	33.6362152099609
51.2	33.4654159545898
51.3	33.2892761230469
51.4	33.1085586547852
51.5	32.924072265625
51.6	32.7366485595703
51.7	32.5471534729004
51.8	32.3564720153809
51.9	32.1655158996582
52	31.9752159118652
52.1	31.786506652832
52.2	31.6003379821777
52.3	31.4176559448242
52.4	31.239408493042
52.5	31.0665302276611
52.6	30.8999423980713
52.7	30.7405490875244
52.8	30.5892238616943
52.9	30.446813583374
53	30.3141212463379
53.1	30.1919136047363
53.2	30.0809097290039
53.3	29.9817771911621
53.4	29.8951225280762
53.5	29.8215007781982
53.6	29.7613964080811
53.7	29.7152271270752
53.8	29.6833457946777
53.9	29.6660251617432
54	29.6634635925293
54.1	29.67578125
54.2	29.7030220031738
54.3	29.7451419830322
54.4	29.8020191192627
54.5	29.8734512329102
54.6	29.9591541290283
54.7	30.0587615966797
54.8	30.1718311309814
54.9	30.2978420257568
55	30.4361972808838
55.1	30.5862331390381
55.2	30.7472095489502
55.3	30.9183311462402
55.4	31.0987300872803
55.5	31.2874946594238
55.6	31.4836559295654
55.7	31.6862010955811
55.8	31.8940811157227
55.9	32.1062126159668
56	32.3214874267578
56.1	32.5387802124023
56.2	32.7569427490234
56.3	32.9748382568359
56.4	33.1913070678711
56.5	33.405216217041
56.6	33.6154403686523
56.7	33.8208694458008
