WaveHs	WaveTp	WaveDirection	Rayleigh max 30min Dynamic z	Rayleigh max 30min GZ-Velocity	Rayleigh max 30min GZ-Acceleration
2.000000	10.000000	165.000000	1.053904	0.665987	0.446565
2.000000	10.000000	180.000000	0.989716	0.628437	0.428425
2.000000	10.000000	195.000000	1.039376	0.674678	0.469109
2.000000	11.000000	165.000000	1.183497	0.712807	0.457117
2.000000	11.000000	180.000000	1.117379	0.671810	0.434868
2.000000	11.000000	195.000000	1.149659	0.706496	0.467112
2.000000	12.000000	165.000000	1.299311	0.744911	0.456265
2.000000	12.000000	180.000000	1.224865	0.697862	0.430517
2.000000	12.000000	195.000000	1.237978	0.720220	0.453737
2.000000	13.000000	165.000000	1.372932	0.754410	0.445356
2.000000	13.000000	180.000000	1.299441	0.710000	0.420483
2.000000	13.000000	195.000000	1.307116	0.725387	0.439658
2.000000	14.000000	165.000000	1.425986	0.746616	0.424214
2.000000	14.000000	180.000000	1.357345	0.706000	0.401298
2.000000	14.000000	195.000000	1.354892	0.717202	0.417132
2.000000	15.000000	165.000000	1.450853	0.726124	0.396659
2.000000	15.000000	180.000000	1.389592	0.689215	0.376902
2.000000	15.000000	195.000000	1.381912	0.695191	0.387728
2.000000	16.000000	165.000000	1.499373	0.714071	0.376385
2.000000	16.000000	180.000000	1.445639	0.680939	0.357257
2.000000	16.000000	195.000000	1.434147	0.683061	0.365044
2.250000	5.000000	165.000000	0.135130	0.149273	0.174692
2.250000	5.000000	180.000000	0.160555	0.173808	0.193340
2.250000	5.000000	195.000000	0.194367	0.216516	0.245237
2.250000	6.000000	165.000000	0.298021	0.282527	0.284125
2.250000	6.000000	180.000000	0.348197	0.344587	0.351646
2.250000	6.000000	195.000000	0.383342	0.379506	0.389977
2.250000	7.000000	165.000000	0.552869	0.439757	0.368269
2.250000	7.000000	180.000000	0.524821	0.430158	0.376071
2.250000	7.000000	195.000000	0.598720	0.489537	0.426685
2.250000	8.000000	165.000000	0.812776	0.584407	0.442558
2.250000	8.000000	180.000000	0.767866	0.563656	0.440587
2.250000	8.000000	195.000000	0.847796	0.627873	0.493955
2.250000	9.000000	165.000000	1.051584	0.700682	0.493057
2.250000	9.000000	180.000000	0.976849	0.656625	0.470119
2.250000	9.000000	195.000000	1.040712	0.712241	0.519290
2.250000	10.000000	165.000000	1.185629	0.749229	0.502399
2.250000	10.000000	180.000000	1.113429	0.706992	0.481995
2.250000	10.000000	195.000000	1.169292	0.759006	0.527752
2.250000	11.000000	165.000000	1.331432	0.801906	0.514274
2.250000	11.000000	180.000000	1.257058	0.755791	0.489248
2.250000	11.000000	195.000000	1.293372	0.794810	0.525516
2.250000	12.000000	165.000000	1.461716	0.838019	0.513307
2.250000	12.000000	180.000000	1.377971	0.785087	0.484338
2.250000	12.000000	195.000000	1.392725	0.810241	0.510451
2.250000	13.000000	165.000000	1.544555	0.848714	0.501040
2.250000	13.000000	180.000000	1.461881	0.798752	0.473055
2.250000	13.000000	195.000000	1.470522	0.816068	0.494635
2.250000	14.000000	165.000000	1.604222	0.839940	0.477254
2.250000	14.000000	180.000000	1.527008	0.794251	0.451476
2.250000	14.000000	195.000000	1.524253	0.806857	0.469539
2.250000	15.000000	165.000000	1.632192	0.816887	0.446252
2.250000	15.000000	180.000000	1.563276	0.775367	0.424025
2.250000	15.000000	195.000000	1.554639	0.782094	0.436211
2.250000	16.000000	165.000000	1.686770	0.803311	0.423423
2.250000	16.000000	180.000000	1.626328	0.766044	0.401910
2.250000	16.000000	195.000000	1.613403	0.768434	0.410674
2.500000	6.000000	165.000000	0.338876	0.328653	0.334261
2.500000	6.000000	180.000000	0.408544	0.410442	0.423799
2.500000	6.000000	195.000000	0.447071	0.449573	0.465671
2.500000	7.000000	165.000000	0.602902	0.479513	0.404935
2.500000	7.000000	180.000000	0.574107	0.473003	0.414800
2.500000	7.000000	195.000000	0.652588	0.535057	0.467740
2.500000	8.000000	165.000000	0.903083	0.649345	0.491771
2.500000	8.000000	180.000000	0.853186	0.626291	0.489579
2.500000	8.000000	195.000000	0.941996	0.697641	0.548660
2.500000	9.000000	165.000000	1.167839	0.778534	0.547873
2.500000	9.000000	180.000000	1.085386	0.729590	0.522389
2.500000	9.000000	195.000000	1.156349	0.791387	0.577026
2.500000	10.000000	165.000000	1.317350	0.832468	0.558238
2.500000	10.000000	180.000000	1.237141	0.785548	0.535571
2.500000	10.000000	195.000000	1.299208	0.843334	0.586399
2.500000	11.000000	165.000000	1.479363	0.891004	0.571437
2.500000	11.000000	180.000000	1.396738	0.839774	0.543637
2.500000	11.000000	195.000000	1.437086	0.883125	0.583927
2.500000	12.000000	165.000000	1.624118	0.931125	0.570354
2.500000	12.000000	180.000000	1.531077	0.872314	0.538160
2.500000	12.000000	195.000000	1.547471	0.900261	0.567168
2.500000	13.000000	165.000000	1.716179	0.943017	0.556728
2.500000	13.000000	180.000000	1.624322	0.887505	0.525633
2.500000	13.000000	195.000000	1.633930	0.906751	0.549615
2.500000	14.000000	165.000000	1.782455	0.933262	0.530602
2.500000	14.000000	180.000000	1.696668	0.882502	0.501659
2.500000	14.000000	195.000000	1.693614	0.896514	0.521731
2.500000	15.000000	165.000000	1.813525	0.907650	0.495848
2.500000	15.000000	180.000000	1.736956	0.861517	0.471149
2.500000	15.000000	195.000000	1.727363	0.868997	0.484698
2.500000	16.000000	165.000000	1.874159	0.892547	0.470460
2.500000	16.000000	180.000000	1.807013	0.851146	0.446562
2.500000	16.000000	195.000000	1.792656	0.853805	0.456306
2.750000	6.000000	165.000000	0.372603	0.365011	0.374215
2.750000	6.000000	180.000000	0.458785	0.464203	0.480320
2.750000	6.000000	195.000000	0.499790	0.505863	0.526423
2.750000	7.000000	165.000000	0.656782	0.526671	0.443844
2.750000	7.000000	180.000000	0.625364	0.520057	0.460602
2.750000	7.000000	195.000000	0.707242	0.585387	0.514291
2.750000	8.000000	165.000000	1.005679	0.723818	0.548521
2.750000	8.000000	180.000000	0.949970	0.693079	0.539686
2.750000	8.000000	195.000000	1.051530	0.777339	0.608721
2.750000	9.000000	165.000000	1.284608	0.856384	0.602696
2.750000	9.000000	180.000000	1.193916	0.802556	0.574668
2.750000	9.000000	195.000000	1.271980	0.870539	0.634773
2.750000	10.000000	165.000000	1.449066	0.915706	0.614084
2.750000	10.000000	180.000000	1.360852	0.864103	0.589153
2.750000	10.000000	195.000000	1.429122	0.927660	0.645052
2.750000	11.000000	165.000000	1.627292	0.980101	0.628606
2.750000	11.000000	180.000000	1.536418	0.923758	0.598033
2.750000	11.000000	195.000000	1.580801	0.971440	0.642345
2.750000	12.000000	165.000000	1.786515	1.024229	0.627404
2.750000	12.000000	180.000000	1.684181	0.959541	0.591989
2.750000	12.000000	195.000000	1.702216	0.990280	0.623888
2.750000	13.000000	165.000000	1.886591	1.037319	0.612422
2.750000	13.000000	180.000000	1.786764	0.976258	0.578215
2.750000	13.000000	195.000000	1.797343	0.997436	0.604605
2.750000	14.000000	165.000000	1.960682	1.026584	0.583682
2.750000	14.000000	180.000000	1.866326	0.970753	0.551848
2.750000	14.000000	195.000000	1.862975	0.986172	0.574232
2.750000	15.000000	165.000000	1.994853	0.998411	0.545449
2.750000	15.000000	180.000000	1.910621	0.947668	0.518280
2.750000	15.000000	195.000000	1.900085	0.955902	0.533190
2.750000	16.000000	165.000000	2.061542	0.981778	0.517495
2.750000	16.000000	180.000000	1.987694	0.936246	0.491215
2.750000	16.000000	195.000000	1.971906	0.939174	0.501938
3.000000	6.000000	165.000000	0.408021	0.400070	0.411133
3.000000	6.000000	180.000000	0.504070	0.510340	0.528057
3.000000	6.000000	195.000000	0.548163	0.556739	0.578499
3.000000	7.000000	165.000000	0.706514	0.571353	0.482039
3.000000	7.000000	180.000000	0.670622	0.560564	0.498649
3.000000	7.000000	195.000000	0.757903	0.629769	0.555004
3.000000	8.000000	165.000000	1.080861	0.781352	0.593617
3.000000	8.000000	180.000000	1.010397	0.738407	0.575745
3.000000	8.000000	195.000000	1.123426	0.828091	0.649035
3.000000	9.000000	165.000000	1.401373	0.934233	0.657812
3.000000	9.000000	180.000000	1.302450	0.875523	0.626958
3.000000	9.000000	195.000000	1.387616	0.949690	0.692532
3.000000	10.000000	165.000000	1.580777	0.998941	0.669937
3.000000	10.000000	180.000000	1.484560	0.942658	0.642744
3.000000	10.000000	195.000000	1.559034	1.011986	0.703710
3.000000	11.000000	165.000000	1.775217	1.069197	0.685784
3.000000	11.000000	180.000000	1.676098	1.007743	0.652439
3.000000	11.000000	195.000000	1.724516	1.059757	0.700771
3.000000	12.000000	165.000000	1.948907	1.117330	0.684461
3.000000	12.000000	180.000000	1.837282	1.046767	0.645823
3.000000	12.000000	195.000000	1.856961	1.080299	0.680609
3.000000	13.000000	165.000000	2.058102	1.131622	0.668122
3.000000	13.000000	180.000000	1.949206	1.065012	0.630803
3.000000	13.000000	195.000000	1.960758	1.088123	0.659603
3.000000	14.000000	165.000000	2.138905	1.119903	0.636766
3.000000	14.000000	180.000000	2.035982	1.059004	0.602043
3.000000	14.000000	195.000000	2.032337	1.075832	0.626465
3.000000	15.000000	165.000000	2.176175	1.089172	0.595053
3.000000	15.000000	180.000000	2.084292	1.033818	0.565415
3.000000	15.000000	195.000000	2.072804	1.042807	0.581689
3.000000	16.000000	165.000000	2.248917	1.071005	0.564532
3.000000	16.000000	180.000000	2.168371	1.021343	0.535868
3.000000	16.000000	195.000000	2.151153	1.024541	0.547573
3.250000	6.000000	165.000000	0.442021	0.433409	0.445398
3.250000	6.000000	180.000000	0.546075	0.552869	0.572066
3.250000	6.000000	195.000000	0.593842	0.603134	0.626712
3.250000	7.000000	165.000000	0.759639	0.614911	0.520514
3.250000	7.000000	180.000000	0.712908	0.595570	0.526106
3.250000	7.000000	195.000000	0.803739	0.668347	0.585635
3.250000	8.000000	165.000000	1.185767	0.860448	0.657643
3.250000	8.000000	180.000000	1.101254	0.809857	0.632135
3.250000	8.000000	195.000000	1.224606	0.911155	0.714221
3.250000	9.000000	165.000000	1.513758	1.010385	0.710061
3.250000	9.000000	180.000000	1.407269	0.947239	0.677669
3.250000	9.000000	195.000000	1.498157	1.024634	0.748738
3.250000	10.000000	165.000000	1.712481	1.082174	0.725798
3.250000	10.000000	180.000000	1.608267	1.021214	0.696343
3.250000	10.000000	195.000000	1.688944	1.096311	0.762375
3.250000	11.000000	165.000000	1.923137	1.158291	0.742970
3.250000	11.000000	180.000000	1.815778	1.091730	0.706854
3.250000	11.000000	195.000000	1.868232	1.148075	0.759207
3.250000	12.000000	165.000000	2.111293	1.210429	0.741523
3.250000	12.000000	180.000000	1.990382	1.133991	0.699663
3.250000	12.000000	195.000000	2.011706	1.170317	0.737341
3.250000	13.000000	165.000000	2.229612	1.225923	0.723828
3.250000	13.000000	180.000000	2.111649	1.153765	0.683397
3.250000	13.000000	195.000000	2.124177	1.178813	0.714610
3.250000	14.000000	165.000000	2.317122	1.213221	0.689856
3.250000	14.000000	180.000000	2.205634	1.147255	0.652245
3.250000	14.000000	195.000000	2.201698	1.165494	0.678707
3.250000	15.000000	165.000000	2.357491	1.179931	0.644661
3.250000	15.000000	180.000000	2.257958	1.119967	0.612554
3.250000	15.000000	195.000000	2.245521	1.129715	0.630194
3.250000	16.000000	165.000000	2.436286	1.160226	0.611565
3.250000	16.000000	180.000000	2.349043	1.106436	0.580522
3.250000	16.000000	195.000000	2.330397	1.109906	0.593209
3.500000	7.000000	165.000000	0.812131	0.660833	0.561466
3.500000	7.000000	180.000000	0.755851	0.636881	0.568325
3.500000	7.000000	195.000000	0.851291	0.711641	0.629537
3.500000	8.000000	165.000000	1.285043	0.941770	0.721995
3.500000	8.000000	180.000000	1.181160	0.874392	0.680777
3.500000	8.000000	195.000000	1.324350	0.986446	0.773806
3.500000	9.000000	165.000000	1.620417	1.082117	0.762401
3.500000	9.000000	180.000000	1.511296	1.017363	0.728353
3.500000	9.000000	195.000000	1.615553	1.107334	0.807770
3.500000	10.000000	165.000000	1.844180	1.165404	0.781663
3.500000	10.000000	180.000000	1.731972	1.099769	0.749951
3.500000	10.000000	195.000000	1.818862	1.180635	0.821048
3.500000	11.000000	165.000000	2.071053	1.247383	0.800165
3.500000	11.000000	180.000000	1.955457	1.175717	0.761281
3.500000	11.000000	195.000000	2.011949	1.236401	0.817653
3.500000	12.000000	165.000000	2.273674	1.303524	0.798591
3.500000	12.000000	180.000000	2.143479	1.221215	0.753509
3.500000	12.000000	195.000000	2.166450	1.260334	0.794075
3.500000	13.000000	165.000000	2.401119	1.320224	0.779541
3.500000	13.000000	180.000000	2.274092	1.242519	0.735999
3.500000	13.000000	195.000000	2.287598	1.269505	0.769626
3.500000	14.000000	165.000000	2.495332	1.306537	0.742951
3.500000	14.000000	180.000000	2.375284	1.235500	0.702454
3.500000	14.000000	195.000000	2.371059	1.255157	0.730956
3.500000	15.000000	165.000000	2.538799	1.270688	0.694274
3.500000	15.000000	180.000000	2.431619	1.206117	0.659698
3.500000	15.000000	195.000000	2.418235	1.216623	0.678705
3.500000	16.000000	165.000000	2.623646	1.249443	0.658597
3.500000	16.000000	180.000000	2.529710	1.191527	0.625177
3.500000	16.000000	195.000000	2.509638	1.195270	0.638848
